Created as New Dataset,Sample 074 By Student Date Tuesday, February 27 2024
cm-1,%T
8000.00,89.56
7999.00,89.57
7998.00,89.59
7997.00,89.61
7996.00,89.64
7995.00,89.66
7994.00,89.65
7993.00,89.60
7992.00,89.54
7991.00,89.49
7990.00,89.47
7989.00,89.48
7988.00,89.50
7987.00,89.55
7986.00,89.60
7985.00,89.64
7984.00,89.66
7983.00,89.67
7982.00,89.68
7981.00,89.67
7980.00,89.65
7979.00,89.61
7978.00,89.58
7977.00,89.60
7976.00,89.63
7975.00,89.66
7974.00,89.68
7973.00,89.69
7972.00,89.71
7971.00,89.73
7970.00,89.74
7969.00,89.73
7968.00,89.72
7967.00,89.71
7966.00,89.69
7965.00,89.67
7964.00,89.64
7963.00,89.64
7962.00,89.67
7961.00,89.71
7960.00,89.73
7959.00,89.71
7958.00,89.67
7957.00,89.63
7956.00,89.60
7955.00,89.56
7954.00,89.51
7953.00,89.47
7952.00,89.48
7951.00,89.54
7950.00,89.62
7949.00,89.69
7948.00,89.72
7947.00,89.73
7946.00,89.75
7945.00,89.75
7944.00,89.72
7943.00,89.67
7942.00,89.63
7941.00,89.63
7940.00,89.66
7939.00,89.69
7938.00,89.68
7937.00,89.66
7936.00,89.65
7935.00,89.66
7934.00,89.68
7933.00,89.70
7932.00,89.70
7931.00,89.70
7930.00,89.71
7929.00,89.72
7928.00,89.73
7927.00,89.73
7926.00,89.71
7925.00,89.69
7924.00,89.69
7923.00,89.70
7922.00,89.71
7921.00,89.71
7920.00,89.71
7919.00,89.73
7918.00,89.76
7917.00,89.79
7916.00,89.81
7915.00,89.82
7914.00,89.83
7913.00,89.83
7912.00,89.83
7911.00,89.81
7910.00,89.78
7909.00,89.75
7908.00,89.73
7907.00,89.73
7906.00,89.73
7905.00,89.74
7904.00,89.76
7903.00,89.79
7902.00,89.81
7901.00,89.82
7900.00,89.82
7899.00,89.81
7898.00,89.80
7897.00,89.79
7896.00,89.78
7895.00,89.76
7894.00,89.75
7893.00,89.74
7892.00,89.73
7891.00,89.73
7890.00,89.74
7889.00,89.74
7888.00,89.75
7887.00,89.76
7886.00,89.78
7885.00,89.79
7884.00,89.80
7883.00,89.80
7882.00,89.79
7881.00,89.78
7880.00,89.78
7879.00,89.79
7878.00,89.80
7877.00,89.81
7876.00,89.80
7875.00,89.79
7874.00,89.79
7873.00,89.80
7872.00,89.81
7871.00,89.81
7870.00,89.80
7869.00,89.80
7868.00,89.78
7867.00,89.78
7866.00,89.78
7865.00,89.79
7864.00,89.80
7863.00,89.80
7862.00,89.77
7861.00,89.74
7860.00,89.73
7859.00,89.73
7858.00,89.74
7857.00,89.74
7856.00,89.72
7855.00,89.72
7854.00,89.74
7853.00,89.77
7852.00,89.79
7851.00,89.81
7850.00,89.82
7849.00,89.83
7848.00,89.84
7847.00,89.85
7846.00,89.86
7845.00,89.87
7844.00,89.86
7843.00,89.85
7842.00,89.83
7841.00,89.83
7840.00,89.82
